date,price
1990-11-09,1387.0999755859375
1990-11-12,1407.5
1990-11-13,1415.199951171875
1990-11-14,1410.300048828125
1990-11-15,1405.699951171875
1990-11-16,1395.199951171875
1990-11-19,1416.0
1990-11-20,1405.800048828125
1990-11-21,1398.4000244140625
1990-11-22,1388.800048828125
1990-11-23,1385.5999755859375
1990-11-26,1353.699951171875
1990-11-27,1357.0999755859375
1990-11-28,1366.5999755859375
1990-11-29,1368.300048828125
1990-11-30,1384.9000244140625
1990-12-03,1409.4000244140625
1990-12-04,1403.0999755859375
1990-12-05,1411.4000244140625
1990-12-06,1450.300048828125
1990-12-07,1444.5
1990-12-10,1426.199951171875
1990-12-11,1413.9000244140625
1990-12-12,1419.9000244140625
1990-12-13,1417.0
1990-12-14,1407.5999755859375
1990-12-17,1388.4000244140625
1990-12-18,1393.4000244140625
1990-12-19,1386.699951171875
1990-12-20,1371.199951171875
1990-12-21,1387.9000244140625
1990-12-24,1387.4000244140625
1990-12-27,1384.0
1990-12-28,1383.0999755859375
1991-01-03,1372.0999755859375
1991-01-04,1371.699951171875
1991-01-07,1340.300048828125
1991-01-08,1326.4000244140625
1991-01-09,1349.9000244140625
1991-01-10,1331.5
1991-01-11,1320.9000244140625
1991-01-14,1287.5999755859375
1991-01-15,1296.699951171875
1991-01-16,1289.4000244140625
1991-01-17,1363.4000244140625
1991-01-18,1354.0
1991-01-21,1331.0999755859375
1991-01-22,1336.800048828125
1991-01-23,1350.0
1991-01-24,1387.800048828125
1991-01-25,1400.5999755859375
1991-01-28,1413.9000244140625
1991-01-29,1412.199951171875
1991-01-30,1438.5999755859375
1991-01-31,1434.300048828125
1991-02-01,1448.0999755859375
1991-02-04,1462.9000244140625
1991-02-05,1472.5
1991-02-06,1455.0999755859375
1991-02-07,1463.300048828125
1991-02-08,1477.9000244140625
1991-02-11,1515.699951171875
1991-02-12,1515.0999755859375
1991-02-13,1540.0
1991-02-14,1537.199951171875
1991-02-15,1558.9000244140625
1991-02-18,1579.9000244140625
1991-02-19,1574.0
1991-02-20,1537.5999755859375
1991-02-21,1560.5999755859375
1991-02-22,1571.699951171875
1991-02-25,1603.199951171875
1991-02-26,1576.5999755859375
1991-02-27,1589.5
1991-02-28,1578.699951171875
1991-03-01,1559.0
1991-03-04,1580.5999755859375
1991-03-05,1592.0
1991-03-06,1625.0
1991-03-07,1623.5
1991-03-08,1643.199951171875
1991-03-11,1622.0
1991-03-12,1616.800048828125
1991-03-13,1591.699951171875
1991-03-14,1632.5999755859375
1991-03-15,1629.300048828125
1991-03-18,1610.5999755859375
1991-03-19,1586.699951171875
1991-03-20,1577.300048828125
1991-03-21,1599.800048828125
1991-03-22,1611.0
1991-03-25,1615.699951171875
1991-03-26,1613.5999755859375
1991-03-27,1650.5999755859375
1991-03-28,1649.4000244140625
1991-04-02,1653.0999755859375
1991-04-03,1677.300048828125
1991-04-04,1676.9000244140625
1991-04-05,1690.300048828125
1991-04-08,1693.9000244140625
1991-04-09,1695.0
1991-04-10,1671.0999755859375
1991-04-11,1673.5999755859375
1991-04-12,1688.699951171875
1991-04-15,1695.4000244140625
1991-04-16,1665.300048828125
1991-04-17,1683.4000244140625
1991-04-18,1676.5
1991-04-19,1678.300048828125
1991-04-22,1656.0999755859375
1991-04-23,1675.0
1991-04-24,1670.5999755859375
1991-04-25,1662.699951171875
1991-04-26,1662.5999755859375
1991-04-29,1669.699951171875
1991-04-30,1659.5
1991-05-02,1677.199951171875
1991-05-03,1664.199951171875
1991-05-06,1657.300048828125
1991-05-07,1665.800048828125
1991-05-08,1645.800048828125
1991-05-10,1661.9000244140625
1991-05-13,1654.300048828125
1991-05-14,1653.300048828125
1991-05-15,1647.800048828125
1991-05-16,1654.800048828125
1991-05-17,1659.5
1991-05-21,1675.9000244140625
1991-05-22,1689.4000244140625
1991-05-23,1692.4000244140625
1991-05-24,1691.9000244140625
1991-05-27,1710.0
1991-05-28,1723.5
1991-05-29,1717.0999755859375
1991-05-30,1714.699951171875
1991-05-31,1740.800048828125
1991-06-03,1733.0
1991-06-04,1723.199951171875
1991-06-05,1730.199951171875
1991-06-06,1723.5999755859375
1991-06-07,1723.5999755859375
1991-06-10,1712.5999755859375
1991-06-11,1717.5999755859375
1991-06-12,1699.0
1991-06-13,1688.5999755859375
1991-06-14,1710.9000244140625
1991-06-17,1722.0
1991-06-18,1723.5
1991-06-19,1708.0999755859375
1991-06-20,1706.199951171875
1991-06-21,1713.300048828125
